City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.7911,-50.0119,61.0,59.0,79.0,6.67,BR,1660645561.0
jamestown,42.097,-79.2353,61.02,74.0,100.0,4.0,US,1660645561.0
barrow,71.2906,-156.7887,32.86,98.0,100.0,14.14,US,1660645338.0
busselton,-33.65,115.3333,55.09,75.0,45.0,17.83,AU,1660645562.0
carnarvon,-24.8667,113.6333,62.67,94.0,75.0,5.75,AU,1660645562.0
conceicao do castelo,-20.3683,-41.2439,56.97,89.0,4.0,5.32,BR,1660645562.0
punta arenas,-53.15,-70.9167,33.91,86.0,40.0,8.05,CL,1660645562.0
hadejia,12.4498,10.0444,74.19,83.0,100.0,10.71,NG,1660645562.0
zemio,5.0314,25.1361,74.71,92.0,87.0,4.81,CF,1660645562.0
cape town,-33.9258,18.4232,63.09,57.0,20.0,20.71,ZA,1660645514.0
qaanaaq,77.484,-69.3632,38.73,63.0,71.0,6.24,GL,1660645562.0
nassau,40.7507,-73.5829,68.7,64.0,0.0,6.91,US,1660645563.0
nipawin,53.3668,-104.0009,57.24,94.0,0.0,5.75,CA,1660645563.0
port alfred,-33.5906,26.891,70.99,27.0,100.0,10.11,ZA,1660645563.0
taolanaro,,,,,,,,
aksaray,38.3726,34.0254,86.86,24.0,0.0,8.55,TR,1660645563.0
lebork,54.5392,17.7501,87.44,47.0,68.0,10.8,PL,1660645563.0
rodrigues alves,-7.738,-72.6509,70.48,92.0,0.0,2.66,BR,1660645563.0
carutapera,-1.195,-46.02,74.95,89.0,7.0,3.87,BR,1660645563.0
ushuaia,-54.8,-68.3,33.46,80.0,40.0,3.44,AR,1660645562.0
inderborskiy,,,,,,,,
belyy yar,53.6039,91.3903,67.89,34.0,0.0,8.95,RU,1660645564.0
vaitupu,,,,,,,,
chuzhou,32.3219,118.2978,86.45,78.0,95.0,8.28,CN,1660645564.0
saint-philippe,-21.3585,55.7679,76.59,68.0,17.0,9.35,RE,1660645564.0
pangnirtung,66.1451,-65.7125,42.39,86.0,96.0,2.08,CA,1660645565.0
kodiak,57.79,-152.4072,54.91,88.0,100.0,8.05,US,1660645565.0
bathsheba,13.2167,-59.5167,83.01,83.0,40.0,18.41,BB,1660645565.0
margate,51.3813,1.3862,71.87,64.0,100.0,5.46,GB,1660645565.0
mahajanga,-15.7167,46.3167,89.62,40.0,20.0,6.91,MG,1660645565.0
asfi,32.2994,-9.2372,73.6,64.0,0.0,10.36,MA,1660645565.0
rikitea,-23.1203,-134.9692,72.72,78.0,42.0,18.21,PF,1660645565.0
camana,-16.6228,-72.7111,58.14,87.0,90.0,9.44,PE,1660645565.0
kavieng,-2.5744,150.7967,80.8,78.0,100.0,5.84,PG,1660645565.0
pevek,69.7008,170.3133,38.62,72.0,9.0,7.81,RU,1660645565.0
alice springs,-23.7,133.8833,58.55,23.0,1.0,8.05,AU,1660645566.0
mataura,-46.1927,168.8643,44.76,98.0,66.0,3.4,NZ,1660645566.0
atuona,-9.8,-139.0333,76.95,72.0,9.0,21.21,PF,1660645566.0
general elizardo aquino,-24.4333,-56.7,65.52,98.0,100.0,6.26,PY,1660645566.0
leningradskiy,69.3833,178.4167,31.35,87.0,10.0,7.52,RU,1660645566.0
katsuura,35.1333,140.3,81.21,87.0,100.0,27.94,JP,1660645566.0
coihaique,-45.5752,-72.0662,37.35,60.0,100.0,3.44,CL,1660645433.0
kruisfontein,-34.0033,24.7314,72.88,21.0,100.0,12.06,ZA,1660645566.0
ust-omchug,61.15,149.6333,47.41,95.0,100.0,6.22,RU,1660645567.0
hobart,-42.8794,147.3294,50.25,91.0,40.0,9.22,AU,1660645524.0
nouadhibou,20.931,-17.0347,78.78,61.0,80.0,21.85,MR,1660645567.0
ribeira grande,38.5167,-28.7,75.6,64.0,40.0,11.5,PT,1660645567.0
vaini,-21.2,-175.2,71.76,83.0,40.0,13.8,TO,1660645567.0
veraval,20.9,70.3667,80.69,88.0,100.0,20.38,IN,1660645567.0
mar del plata,-38.0023,-57.5575,48.09,71.0,0.0,16.11,AR,1660645567.0
ilulissat,69.2167,-51.1,44.62,87.0,75.0,3.44,GL,1660645567.0
albany,42.6001,-73.9662,59.63,89.0,91.0,1.59,US,1660645567.0
kaitangata,-46.2817,169.8464,46.15,92.0,30.0,3.11,NZ,1660645567.0
kudahuvadhoo,2.6708,72.8944,82.29,71.0,39.0,9.01,MV,1660645568.0
puerto ayora,-0.7393,-90.3518,68.56,94.0,100.0,5.01,EC,1660645568.0
tuktoyaktuk,69.4541,-133.0374,45.61,94.0,100.0,4.83,CA,1660645568.0
arraial do cabo,-22.9661,-42.0278,67.86,77.0,0.0,11.5,BR,1660645568.0
butaritari,3.0707,172.7902,81.61,76.0,90.0,12.77,KI,1660645568.0
berlevag,70.8578,29.0864,71.6,68.0,0.0,19.57,NO,1660645568.0
berdigestyakh,62.0989,126.6992,61.45,79.0,52.0,2.73,RU,1660645568.0
milkovo,54.7167,158.6167,58.91,69.0,99.0,13.02,RU,1660645568.0
bandarbeyla,9.4942,50.8122,88.3,51.0,54.0,28.16,SO,1660645568.0
hermanus,-34.4187,19.2345,61.81,56.0,94.0,12.03,ZA,1660645441.0
menomonie,44.8755,-91.9193,62.82,100.0,100.0,0.0,US,1660645568.0
grand forks,47.9417,-97.4337,69.73,83.0,0.0,9.22,US,1660645569.0
nanortalik,60.1432,-45.2371,44.4,98.0,100.0,9.95,GL,1660645569.0
alto vera,,,,,,,,
ouadda,8.0777,22.4007,74.68,86.0,100.0,7.05,CF,1660645569.0
sao filipe,14.8961,-24.4956,78.4,84.0,83.0,10.22,CV,1660645569.0
esperance,-33.8667,121.9,57.04,91.0,100.0,16.64,AU,1660645293.0
nikolskoye,59.7035,30.7861,84.87,39.0,16.0,6.85,RU,1660645569.0
bluff,-46.6,168.3333,48.99,89.0,91.0,5.46,NZ,1660645569.0
umzimvubu,,,,,,,,
cidreira,-30.1811,-50.2056,55.96,87.0,100.0,6.78,BR,1660645570.0
klaksvik,62.2266,-6.589,50.92,67.0,98.0,17.16,FO,1660645570.0
saint george,37.1041,-113.5841,77.59,67.0,0.0,0.0,US,1660645570.0
nishihara,26.1842,127.7558,86.05,79.0,40.0,12.66,JP,1660645570.0
manaia,-39.55,174.1333,59.58,86.0,100.0,13.47,NZ,1660645570.0
brownwood,31.7093,-98.9912,74.97,77.0,86.0,4.83,US,1660645570.0
flinders,-34.5833,150.8552,53.19,75.0,64.0,1.99,AU,1660645570.0
aleksandrovskoye,44.7142,43.0008,95.09,27.0,23.0,6.6,RU,1660645570.0
hearst,49.6835,-83.6665,43.05,84.0,4.0,3.31,CA,1660645570.0
georgetown,5.4112,100.3354,87.89,69.0,20.0,6.91,MY,1660645355.0
hilo,19.7297,-155.09,78.28,91.0,100.0,7.0,US,1660645508.0
san patricio,28.017,-97.5169,84.88,88.0,53.0,5.46,US,1660645571.0
skerries,53.5828,-6.1083,62.01,77.0,89.0,19.33,IE,1660645571.0
karakose,,,,,,,,
chapais,49.7834,-74.8492,53.38,77.0,84.0,5.23,CA,1660645571.0
maple creek,49.9168,-109.4848,68.41,42.0,9.0,9.22,CA,1660645571.0
kapaa,22.0752,-159.319,75.18,91.0,20.0,8.05,US,1660645571.0
mount gambier,-37.8333,140.7667,44.4,94.0,52.0,1.43,AU,1660645571.0
quang ngai,15.1167,108.8,84.22,78.0,79.0,2.71,VN,1660645571.0
saleaula,,,,,,,,
shingu,33.7333,135.9833,82.36,84.0,100.0,8.39,JP,1660645572.0
samarai,-10.6167,150.6667,77.88,78.0,95.0,16.4,PG,1660645572.0
paamiut,61.994,-49.6678,42.55,98.0,100.0,5.73,GL,1660645572.0
sola,-13.8833,167.55,80.56,79.0,17.0,16.46,VU,1660645572.0
lagoa,39.05,-27.9833,70.86,68.0,94.0,16.46,PT,1660645572.0
lorengau,-2.0226,147.2712,80.47,70.0,96.0,6.26,PG,1660645572.0
anloga,5.7947,0.8973,75.69,82.0,100.0,10.71,GH,1660645572.0
saldanha,-33.0117,17.9442,60.85,62.0,24.0,10.54,ZA,1660645572.0
ponta do sol,32.6667,-17.1,81.01,78.0,44.0,3.85,PT,1660645572.0
guerrero negro,27.9769,-114.0611,71.38,83.0,45.0,8.21,MX,1660645572.0
chokurdakh,70.6333,147.9167,55.04,60.0,6.0,10.2,RU,1660645573.0
iqaluit,63.7506,-68.5145,42.53,86.0,20.0,10.36,CA,1660645573.0
honiara,-9.4333,159.95,77.97,81.0,7.0,2.33,SB,1660645573.0
cherskiy,68.75,161.3,54.18,59.0,100.0,9.98,RU,1660645573.0
cabo san lucas,22.8909,-109.9124,82.51,80.0,100.0,4.0,MX,1660645573.0
mahebourg,-20.4081,57.7,77.29,61.0,20.0,11.5,MU,1660645573.0
cuicatlan,17.8,-96.9667,70.29,92.0,100.0,1.43,MX,1660645573.0
bacuit,,,,,,,,
coahuayana,18.7333,-103.6833,74.91,89.0,68.0,3.71,MX,1660645573.0
xai-xai,-25.0519,33.6442,74.57,42.0,5.0,0.22,MZ,1660645573.0
amarillo,35.222,-101.8313,73.04,65.0,0.0,11.5,US,1660645282.0
sisimiut,66.9395,-53.6735,41.34,94.0,100.0,8.99,GL,1660645574.0
shache,38.4167,77.2406,88.16,30.0,100.0,10.89,CN,1660645574.0
sao jose da coroa grande,-8.8978,-35.1478,76.66,72.0,22.0,13.56,BR,1660645574.0
zhanaozen,43.3,52.8,101.57,12.0,0.0,13.11,KZ,1660645574.0
lewistown,40.5992,-77.5714,62.19,100.0,0.0,0.0,US,1660645574.0
kalmar,56.6616,16.3616,82.15,75.0,0.0,10.36,SE,1660645452.0
calamar,10.2511,-74.9146,74.03,94.0,98.0,2.28,CO,1660645574.0
ostrovnoy,68.0531,39.5131,66.13,70.0,87.0,13.56,RU,1660645574.0
morrope,-6.5417,-80.0111,60.87,86.0,70.0,9.01,PE,1660645574.0
kapoeta,4.7717,33.5903,83.88,53.0,45.0,4.97,SS,1660645574.0
ahipara,-35.1667,173.1667,61.5,90.0,100.0,22.82,NZ,1660645575.0
dikson,73.5069,80.5464,40.57,89.0,100.0,24.56,RU,1660645575.0
new norfolk,-42.7826,147.0587,49.91,84.0,88.0,2.51,AU,1660645575.0
zalari,53.5584,102.5065,63.5,58.0,76.0,10.92,RU,1660645414.0
jumla,29.2747,82.1838,72.63,74.0,44.0,4.79,NP,1660645575.0
valentin gomez farias,28.2167,-106.5833,64.27,74.0,41.0,1.88,MX,1660645575.0
mutsamudu,,,,,,,,
buta,2.7858,24.73,70.5,98.0,100.0,0.67,CD,1660645576.0
grand river south east,,,,,,,,
nome,64.5011,-165.4064,37.47,87.0,0.0,4.61,US,1660645576.0
kodinsk,58.6881,99.1844,56.1,77.0,100.0,5.37,RU,1660645576.0
ampanihy,-24.7,44.75,78.39,29.0,16.0,8.37,MG,1660645576.0
provideniya,64.3833,-173.3,42.76,70.0,50.0,8.39,RU,1660645576.0
buariki,,,,,,,,
east london,-33.0153,27.9116,68.94,52.0,0.0,5.75,ZA,1660645576.0
pisco,-13.7,-76.2167,59.05,88.0,75.0,4.61,PE,1660645576.0
hofn,64.2539,-15.2082,51.82,66.0,20.0,5.75,IS,1660645576.0
yar-sale,66.8333,70.8333,53.69,52.0,94.0,22.88,RU,1660645577.0
upernavik,72.7868,-56.1549,40.46,78.0,100.0,4.41,GL,1660645577.0
fenyi,27.8112,114.6681,93.78,53.0,99.0,1.79,CN,1660645577.0
mys shmidta,,,,,,,,
visby,57.6409,18.296,77.83,73.0,75.0,10.36,SE,1660645577.0
mao,39.8885,4.2658,86.56,70.0,40.0,13.8,ES,1660645577.0
yerbogachen,61.2767,108.0108,56.55,69.0,100.0,8.19,RU,1660645577.0
aswan,24.0934,32.907,103.37,15.0,41.0,12.39,EG,1660645577.0
sao joao da barra,-21.6403,-41.0511,66.29,73.0,0.0,14.58,BR,1660645577.0
bilibino,68.0546,166.4372,47.73,71.0,86.0,5.39,RU,1660645578.0
tigre,-34.426,-58.5796,52.18,56.0,0.0,5.75,AR,1660645393.0
cognac,45.5,-0.25,75.65,60.0,0.0,4.61,FR,1660645578.0
charters towers,-20.1,146.2667,60.31,30.0,0.0,12.1,AU,1660645578.0
dicabisagan,17.0818,122.4157,81.93,82.0,67.0,1.66,PH,1660645578.0
ipixuna,-1.7625,-48.8043,71.96,92.0,4.0,2.68,BR,1660645578.0
hajnowka,52.7433,23.5812,74.01,81.0,100.0,1.01,PL,1660645578.0
ngunguru,-35.6167,174.5,61.21,86.0,100.0,25.08,NZ,1660645578.0
starychi,49.98,23.5585,71.6,68.0,100.0,3.6,UA,1660645578.0
bethel,41.3712,-73.414,62.65,83.0,0.0,0.0,US,1660645578.0
geraldton,-28.7667,114.6,63.01,67.0,40.0,12.66,AU,1660645578.0
tole,44.7167,33.8167,78.96,61.0,25.0,10.22,UA,1660645579.0
lake charles,30.2131,-93.2044,79.99,94.0,0.0,0.0,US,1660645579.0
zhezkazgan,47.8043,67.7144,80.58,17.0,0.0,15.66,KZ,1660645579.0
ormara,25.2088,64.6357,84.54,79.0,87.0,6.58,PK,1660645579.0
baykit,61.67,96.37,58.42,81.0,100.0,3.51,RU,1660645579.0
chuy,-33.6971,-53.4616,42.28,82.0,12.0,7.16,UY,1660645579.0
warqla,,,,,,,,
ploemeur,47.7333,-3.4333,67.95,85.0,75.0,14.97,FR,1660645579.0
belushya guba,,,,,,,,
avarua,-21.2078,-159.775,69.85,68.0,75.0,8.05,CK,1660645579.0
lazaro cardenas,17.9583,-102.2,77.14,83.0,68.0,5.26,MX,1660645579.0
bela,25.9333,81.9833,90.01,56.0,82.0,5.95,IN,1660645580.0
thompson,55.7435,-97.8558,59.16,94.0,20.0,0.0,CA,1660645580.0
barentsburg,,,,,,,,
listvyanskiy,54.4399,83.4984,50.38,73.0,100.0,12.97,RU,1660645580.0
bridgeton,39.4273,-75.2341,63.45,95.0,0.0,0.0,US,1660645580.0
bogalusa,30.791,-89.8487,78.75,88.0,0.0,0.0,US,1660645580.0
necochea,-38.5473,-58.7368,49.08,54.0,96.0,22.3,AR,1660645580.0
port hardy,50.6996,-127.4199,57.38,100.0,100.0,2.3,CA,1660645580.0
marcona,,,,,,,,
jacmel,18.2342,-72.5347,76.84,83.0,3.0,2.01,HT,1660645580.0
morristown,36.214,-83.2949,68.05,95.0,0.0,0.0,US,1660645581.0
canoinhas,-26.1772,-50.39,60.06,83.0,100.0,2.95,BR,1660645581.0
nizhneyansk,,,,,,,,
doctor pedro p. pena,,,,,,,,
vila velha,-20.3297,-40.2925,69.75,89.0,40.0,5.01,BR,1660645581.0
yumen,40.2833,97.2,93.07,11.0,20.0,14.34,CN,1660645581.0
vostok,46.4856,135.8833,60.26,92.0,55.0,3.02,RU,1660645582.0
sabla,12.7525,4.7077,75.74,84.0,100.0,12.41,NG,1660645582.0
topolobampo,25.6,-109.05,77.83,85.0,100.0,11.01,MX,1660645582.0
indian head,38.6001,-77.1622,67.8,95.0,100.0,4.61,US,1660645582.0
khatanga,71.9667,102.5,59.04,49.0,3.0,16.4,RU,1660645480.0
saryshagan,,,,,,,,
kommunisticheskiy,61.6789,64.4819,56.84,50.0,98.0,9.1,RU,1660645582.0
qaqortoq,60.7167,-46.0333,44.35,99.0,100.0,5.57,GL,1660645582.0
nemuro,43.3236,145.575,70.92,91.0,100.0,28.83,JP,1660645582.0
seshcha,53.7361,33.3387,79.88,44.0,99.0,15.79,RU,1660645583.0
attawapiskat,,,,,,,,
basco,20.4487,121.9702,84.33,73.0,90.0,13.24,PH,1660645583.0
dzilam gonzalez,21.2833,-88.9333,73.18,96.0,18.0,3.89,MX,1660645583.0
ahuimanu,21.4447,-157.8378,76.86,82.0,0.0,3.44,US,1660645583.0
banda aceh,5.5577,95.3222,84.42,69.0,87.0,15.5,ID,1660645583.0
mildura,-34.2,142.15,55.08,72.0,21.0,8.97,AU,1660645583.0
illoqqortoormiut,,,,,,,,
zambezi,-13.5432,23.1047,87.85,13.0,45.0,8.08,ZM,1660645583.0
liku,-0.7275,119.8922,75.29,92.0,99.0,3.15,ID,1660645583.0
kandrian,-6.2167,149.55,78.64,83.0,17.0,5.17,PG,1660645583.0
saint-augustin,51.226,-58.6502,61.0,78.0,73.0,5.19,CA,1660645584.0
portland,45.5234,-122.6762,66.13,82.0,0.0,4.61,US,1660645584.0
hithadhoo,-0.6,73.0833,83.12,73.0,52.0,15.03,MV,1660645584.0
gat,31.61,34.7642,93.4,29.0,0.0,14.94,IL,1660645584.0
bredasdorp,-34.5322,20.0403,63.79,46.0,100.0,3.87,ZA,1660645584.0
marquette,46.5333,-87.6335,52.36,89.0,84.0,1.66,US,1660645584.0
ust-tsilma,65.441,52.1498,64.04,34.0,8.0,6.82,RU,1660645584.0
port said,31.2565,32.2841,81.14,67.0,0.0,10.13,EG,1660645459.0
khani,41.9563,42.9566,81.97,39.0,1.0,6.13,GE,1660645584.0
tecoanapa,16.5167,-98.75,75.45,88.0,98.0,5.48,MX,1660645584.0
san dionisio del mar,16.3333,-94.75,77.13,87.0,100.0,6.29,MX,1660645584.0
fairbanks,64.8378,-147.7164,53.31,93.0,40.0,5.75,US,1660645585.0
amderma,,,,,,,,
hunza,,,,,,,,
tumannyy,,,,,,,,
dire,12.2833,-10.9667,81.39,74.0,57.0,2.13,ML,1660645585.0
kajaani,64.2273,27.7285,77.05,57.0,0.0,10.36,FI,1660645585.0
pangody,65.85,74.4859,54.72,52.0,95.0,20.49,RU,1660645585.0
mrirt,,,,,,,,
talnakh,69.4865,88.3972,63.21,61.0,100.0,6.58,RU,1660645534.0
bawku,11.0616,-0.2417,73.51,90.0,100.0,10.76,GH,1660645585.0
mentok,,,,,,,,
severo-kurilsk,50.6789,156.125,54.88,88.0,100.0,4.14,RU,1660645586.0
kawalu,-7.3817,108.2082,75.78,91.0,77.0,3.6,ID,1660645586.0
san quintin,30.4833,-115.95,70.43,87.0,13.0,7.65,MX,1660645586.0
manokwari,-0.8667,134.0833,79.09,79.0,97.0,4.61,ID,1660645586.0
richards bay,-28.783,32.0377,72.93,33.0,1.0,12.35,ZA,1660645586.0
shiraz,29.6036,52.5388,96.24,9.0,0.0,9.22,IR,1660645538.0
huazolotitlan,,,,,,,,
walvis bay,-22.9575,14.5053,61.75,67.0,4.0,5.75,NA,1660645586.0
port elizabeth,-33.918,25.5701,75.09,31.0,0.0,7.0,ZA,1660645325.0
yellowknife,62.456,-114.3525,61.32,100.0,40.0,5.75,CA,1660645586.0
kattivakkam,13.2167,80.3167,91.49,76.0,60.0,16.93,IN,1660645587.0
bijie,27.3125,105.2942,77.88,74.0,100.0,7.34,CN,1660645587.0
salalah,17.0151,54.0924,80.69,83.0,75.0,11.5,OM,1660645587.0
taoudenni,22.6783,-3.9836,107.53,10.0,63.0,23.44,ML,1660645587.0
korla,41.7597,86.1469,90.14,24.0,100.0,16.2,CN,1660645587.0
lolodorf,3.2333,10.7333,80.4,64.0,98.0,3.49,CM,1660645587.0
high level,58.5169,-117.136,51.91,87.0,0.0,2.3,CA,1660645587.0
sentyabrskiy,,,,,,,,
fort nelson,58.8053,-122.7002,51.39,93.0,0.0,0.0,CA,1660645587.0
kavaratti,10.5669,72.642,81.43,74.0,98.0,4.74,IN,1660645587.0
liepaja,56.5419,21.0367,85.98,45.0,100.0,14.97,LV,1660645588.0
lebu,-37.6167,-73.65,52.45,95.0,100.0,12.26,CL,1660645588.0
nakhon phanom,17.3333,104.4167,85.8,77.0,96.0,6.04,TH,1660645588.0
channel-port aux basques,47.5702,-59.1367,64.51,78.0,100.0,5.08,CA,1660645588.0
saskylakh,71.9167,114.0833,55.87,64.0,100.0,9.64,RU,1660645588.0
ketchikan,55.3422,-131.6461,57.67,100.0,100.0,5.75,US,1660645444.0
port-cartier,50.0334,-66.8654,62.28,72.0,7.0,6.62,CA,1660645588.0
zempoala,19.45,-96.4167,74.91,91.0,100.0,3.91,MX,1660645588.0
rungata,,,,,,,,
namibe,-15.1961,12.1522,70.0,67.0,28.0,9.78,AO,1660645588.0
makakilo city,21.3469,-158.0858,75.69,73.0,0.0,0.0,US,1660645588.0
kamenskoye,,,,,,,,
el real de santa maria,8.109,-77.7325,70.86,99.0,100.0,1.41,PA,1660645589.0
chagda,,,,,,,,
praia,14.9215,-23.5087,82.94,69.0,20.0,13.8,CV,1660645565.0
stokmarknes,68.5646,14.9108,66.18,77.0,75.0,12.66,NO,1660645589.0
launceston,-41.45,147.1667,52.34,79.0,29.0,6.91,AU,1660645375.0
kokomo,40.4864,-86.1336,61.14,92.0,0.0,5.75,US,1660645589.0
pahrump,36.2083,-115.9839,84.25,43.0,100.0,1.99,US,1660645589.0
tuy hoa,13.0833,109.3,85.57,70.0,85.0,8.52,VN,1660645589.0
flin flon,54.7682,-101.865,59.99,96.0,9.0,5.59,CA,1660645590.0
lata,40.1629,-8.3327,69.93,54.0,36.0,9.24,PT,1660645590.0
pamanukan,-6.2842,107.8106,82.18,77.0,29.0,4.65,ID,1660645590.0
mandali,33.7499,45.5541,114.53,6.0,0.0,23.62,IQ,1660645590.0
inirida,3.8653,-67.9239,71.8,98.0,88.0,2.39,CO,1660645590.0
chumikan,54.7183,135.315,58.46,91.0,90.0,4.68,RU,1660645590.0
meulaboh,4.1363,96.1285,84.22,67.0,64.0,5.55,ID,1660645590.0
murgab,37.4966,61.9714,102.07,19.0,0.0,11.5,TM,1660645590.0
kharitonovo,61.4009,47.4978,78.19,37.0,29.0,2.64,RU,1660645590.0
rocha,-34.4833,-54.3333,41.2,60.0,32.0,6.62,UY,1660645590.0
aginskoye,51.1,114.53,70.54,61.0,95.0,3.29,RU,1660645591.0
cayenne,4.9333,-52.3333,77.09,1.0,0.0,0.0,GF,1660645591.0
alotau,,,,,,,,
alofi,-19.0595,-169.9187,73.29,60.0,100.0,18.41,NU,1660645591.0
babanusah,,,,,,,,
juybar,36.6412,52.9124,95.16,48.0,1.0,12.35,IR,1660645591.0
uaua,-9.8414,-39.4817,66.29,83.0,98.0,11.3,BR,1660645591.0
ahmadpur,18.7,76.9333,81.77,69.0,100.0,17.27,IN,1660645591.0
buraydah,26.326,43.975,108.05,11.0,0.0,13.51,SA,1660645312.0
leh,34.1667,77.5833,69.06,45.0,100.0,8.41,IN,1660645591.0
innisfail,-17.5333,146.0333,62.92,67.0,3.0,4.7,AU,1660645592.0
pakpattan,30.341,73.3866,94.59,47.0,100.0,9.86,PK,1660645592.0
bengkulu,-3.8004,102.2655,81.32,79.0,27.0,4.72,ID,1660645592.0
san cristobal,7.7669,-72.225,75.38,90.0,16.0,2.28,VE,1660645592.0
jackson,42.4165,-122.8345,66.07,70.0,0.0,0.0,US,1660645592.0
ballina,-28.8667,153.5667,55.44,75.0,72.0,4.0,AU,1660645592.0
bodden town,19.2833,-81.25,80.92,86.0,5.0,8.34,KY,1660645592.0
jaguaruna,-28.615,-49.0256,63.57,96.0,100.0,0.58,BR,1660645592.0
hutchinson,38.0608,-97.9298,80.73,67.0,0.0,4.61,US,1660645592.0
tabou,4.423,-7.3528,76.28,77.0,100.0,11.77,CI,1660645344.0
ancud,-41.8697,-73.8203,42.66,84.0,91.0,7.63,CL,1660645593.0
dunnville,42.9001,-79.6163,67.96,75.0,97.0,5.46,CA,1660645593.0
shipitsyno,61.2806,46.5208,79.38,44.0,15.0,1.59,RU,1660645593.0
bambanglipuro,-7.95,110.2833,79.16,84.0,62.0,11.86,ID,1660645593.0
dalinghe,,,,,,,,
vila franca do campo,37.7167,-25.4333,73.2,66.0,59.0,9.37,PT,1660645593.0
udachnyy,66.4167,112.4,55.45,76.0,99.0,10.83,RU,1660645400.0
emerald,-23.5333,148.1667,60.35,47.0,5.0,12.19,AU,1660645593.0
bolungarvik,,,,,,,,
jalu,29.0331,21.5482,94.19,29.0,0.0,10.2,LY,1660645593.0
tevaitoa,-16.7833,-151.5,75.65,82.0,100.0,14.58,PF,1660645593.0
